coords,culoare,raza,categorie,name,Judet,UAT,Km,Cauza,Masuri de remediere,lat,long,date_start,date_end,km_start,km_end,Localitati,Tip Lucrari,Variante de ocolire
"[0, 0]",1,10,1.0,Eveniment rutier  DX16,;,;,0+000 - 11+635,"Restrictie temporara a circulatiei pentru autovehiculele cu MTMA > 7,5 tone din cauza conditiilor meteo: cod rosu de canicula.","M.T.M.A. pentru care se instituie restrictia: > 7,5 t
cu exceptia: transporturilor de persoane transporturilor de animale vii si de produse perisabile de origine animala si vegetala, vehiculelor care participa la interventii in caz de forta majora, transporturilor funerare, transporturilor posta...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",0.0,0.0,29-06-2026 20:00,30-06-2026 20:00,0+000,11+635,,,
"[0, 0]",1,10,1.0,Eveniment rutier  DN24G,;,;,0+000 - 11+281,"Luni, 29.06.2026 si marti, 30.06.2026, in intervalul orar 12:00 - 20:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 7,5 t pe sectoarele de drumuri nationale, drumuri expres si autostrazi.
Aceste restrictii sunt instituite ca urmare ...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",,0.0,0.0,29-06-2026 12:00,30-06-2026 20:00,0+000,11+281,,,
"[0, 0]",1,10,1.0,Eveniment rutier  VO CAREI,;,;,0+000 - 10+459,"Restrictie temporara a circulatiei pentru autovehiculele cu MTMA > 7,5 tone din cauza conditiilor meteo: cod rosu de canicula.","M.T.M.A. pentru care se instituie restrictia: > 7,5 t
cu exceptia: transporturilor de persoane transporturilor de animale vii si de produse perisabile de origine animala si vegetala, vehiculelor care participa la interventii in caz de forta majora, transporturilor funerare, transporturilor posta...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",0.0,0.0,29-06-2026 20:00,30-06-2026 20:00,0+000,10+459,,,
"[0, 0]",1,10,1.0,Eveniment rutier  12F,;,;,1+670 - 11+556,"Luni, 29.06.2026 si marti, 30.06.2026, in intervalul orar 12:00 - 20:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 7,5 t pe sectoarele de drum national, drumuri expres si autostrazi din judetul: Covasna.","Aceste restrictii sunt instituite ca urmare a avertizarilor de canicula emise de catre Administratia Nationala de Meteorologie, Cod Galben, Cod Portocaliu si Cod Rosu - val de caldura persistent, canicula, disconfort termic accentuat si deosebit de accentuat respectiv temperaturi extreme.",0.0,0.0,29-06-2026 12:00,30-06-2026 20:00,1+670,11+556,CHICHIS (CV) - SFANTU GHEORGHE (CV),,
"[0, 0]",1,10,1.0,Eveniment rutier  DN 28G,;,;,0+000 - 9+597,"Luni, 29.06.2026 si marti, 30.06.2026, in intervalul orar 12:00 - 20:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 7,5 t pe sectoarele de drumuri nationale, drumuri expres si autostrazi.
Aceste restrictii sunt instituite ca urmare ...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",,0.0,0.0,29-06-2026 12:00,30-06-2026 20:00,0+000,9+597,,,
"[0, 0]",1,10,1.0,Eveniment rutier  Centura Zalau,;,;,0+000 - 5+535,"Restrictie temporara a circulatiei pentru autovehiculele cu MTMA > 7,5 tone din cauza conditiilor meteo: cod rosu de canicula.","M.T.M.A. pentru care se instituie restrictia: > 7,5 t
cu exceptia: transporturilor de persoane transporturilor de animale vii si de produse perisabile de origine animala si vegetala, vehiculelor care participa la interventii in caz de forta majora, transporturilor funerare, transporturilor posta...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",0.0,0.0,29-06-2026 20:00,30-06-2026 20:00,0+000,5+535,,,
"[0, 0]",1,10,1.0,Eveniment rutier  DN PTF,;,;,0+000 - 2+782,"Luni, 29.06.2026 si marti, 30.06.2026, in intervalul orar 12:00 - 20:00, se vor institui restrictii de circulatie pentru autovehiculele cu masa totala maxima autorizata mai mare de 7,5 t pe sectoarele de drumuri nationale, drumuri expres si autostrazi.
Aceste restrictii sunt instituite ca urmare ...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",,0.0,0.0,29-06-2026 12:00,30-06-2026 20:00,0+000,2+782,,,
"[24.97547581, 47.59239377]",0,7,5.0,Circulatie ingreunata  DN18,SV;,Cîrlibaba;,182+300 - 182+400,"Cedare terasament sub actiunea apei raului Bistrita.Se circula cu o viteza de 40 km/h pe o latime de 3,5 din carosabil.",Semnalizare cu balize si lampi intermitente.,24.97547581,47.59239377,15-11-2025 08:00,15-10-2026 09:00,182+300,182+400,CARLIBABA (SV) - CARLIBABA (SV),,
"[26.08059643, 44.51307414]",2,7,6.0,Lucrari  DN1,B;,București Sectorul 1;,9+720 - 9+820,,,26.08059643,44.51307414,11-05-2026 10:12,30-12-2026 23:59,9+720,9+820,,"Se desfasoara lucrari pentru constructia liniei de metrou care va asigura legatura cu Aeroportul International Henri Coanda Bucuresti.
Pe durata executarii lucrarilor, circulatia rutiera pe DN1, intre kilometrii 9+720 si 9+820, se va desfasura pe doua benzi din trei, pe sensul Bucuresti-Ploiesti....
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",
"[27.31875543, 46.19515252]",0,7,5.0,Circulatie ingreunata  DN11A,VN;,Corbița;,59+455 - 59+535,Ravenari terasament corp drum.,Latime - 5m. Viteza - 40km/h,27.31875543,46.19515252,01-01-2026 09:31,31-12-2026 23:59,59+455,59+535,LEHANCEA (BC) - LEHANCEA (BC),,
"[27.32955675, 46.19365334]",0,7,5.0,Circulatie ingreunata  DN11A,BC;,Podu Turcului;,60+225 - 60+305,Ravenari terasament corp drum.,Latime - 3m. Viteza - 40km/h.,27.32955675,46.19365334,01-01-2026 09:36,31-12-2026 23:59,60+225,60+305,LEHANCEA (BC) - LEHANCEA (BC),,
"[26.82217697, 46.5329543]",0,7,5.0,Circulatie ingreunata  DN11,BC;,Luizi-Călugăra;,167+010 - 167+090,DN11 km 167+010- km 167+090 stg zona in care se produce o alunecare de terasament. Circulatie alternativa dirijata cu semafoare la lucrari pe maxim 1/2 din cale.,Se va semnaliza zona afectata conform schemei B.4.,26.82217697,46.5329543,02-03-2026 09:00,02-09-2026 09:00,167+010,167+090,BARZULESTI (BC) - MAGURA (BC),,
"[26.26230049, 45.47679901]",0,7,5.0,Circulatie ingreunata  DN10,BZ;,Siriu;,76+795 - 76+870,"Se instituie restrictie de circulatie rutiera si pietonala in urma degradarilor aparute,(tasari ale platformei drumului,fisuri longitudinale in imbracamintea asfaltica si afectarea trotuarului pietonal.
- se restrictioneaza circulatia pe banda dreapta sensul Buzau - Brasov
- circulatia se des...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>","Dirijarea circulatiei se va realiza cu semafoare electrice, conform Normelor metodologice privind conditiile de inchidere a circulatiei si instituirea restrictiilor de circulatie aprobate prin MI nr. 1112/04.04.2000 si MT nr. 411/08.06.2000, anexa IV -schema B.4
Circulatie alternanta dirijata cu...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",26.26230049,45.47679901,18-05-2026 08:00,31-12-2026 23:59,76+795,76+870,LUNCA JARISTEI (BZ) -,,
"[26.26230049, 45.47679901]",2,7,6.0,Lucrari  DN10,BZ;,Siriu;,76+795 - 76+870,,,26.26230049,45.47679901,16-06-2026 00:29,31-12-2026 23:59,76+795,76+870,LUNCA JARISTEI (BZ) - LUNCA JARISTEI (BZ),"Tasare, crapaturi si fisuri longitudinale in imbracamintea asfaltica.","Circulatie alternativa, semaforizata"
"[24.45856695, 45.05192312]",0,7,5.0,Circulatie ingreunata  DN7,VL;,Golești;,162+390 - 162+460,Alunecare de teren activa.,"Circulatia rutiera se desfasoara pe ambele sensuri de mers , cu precizarea ca pe sensul Rm. Valcea - Pitesti circulatia se desfasoara pe o singura banda din doua. Au fost montate indicatoare rutiere de restrictii de circulatie conform schemei de semnalizare C1.",24.45856695,45.05192312,01-06-2025 00:00,30-11-2026 16:00,162+390,162+460,MILCOIU (VL) -,,
"[26.73149618, 45.58593618]",0,7,5.0,Circulatie ingreunata  DN2R,VN;,Jitia;,1+860 - 1+920,"Alunecare teren, tasare platforma drum.","Latime - 2,5m.",26.73149618,45.58593618,01-01-2026 09:44,31-12-2026 23:59,1+860,1+920,VINTILEASCA (VN) - VINTILEASCA (VN),,
"[26.76642969, 45.58101992]",0,7,5.0,Circulatie ingreunata  DN2N,VN;,Jitia;,50+400 - 50+460,Reactivare alunecare teren.,Circulatie ingreunata.,26.76642969,45.58101992,01-01-2026 09:54,31-12-2026 23:59,50+400,50+460,JITIA (VN) - JITIA (VN),,
"[24.29223421, 45.47571313]",0,7,5.0,Circulatie ingreunata  DN7,VL;,Cîineni;,228+850 - 228+900,Datorita caderilor de pietre pentru siguranta participantilor la trafic pe sectorul de drum mai sus mentionat au fost instalate masuri de semnalizare corespunzatoare conform schemei de semnalizare B1. Circulatia se desfasoara ingreunat.,"Latimea benzii de circulatie pe sensul de mers Rm. Valcea - Sibiu este de 3,73 m , iar latimea benzi de circulatie pe sensul de mers Sibiu - Rm. Valcea este de 3,25.
Circulatia rutiera se desfasoara normal pe sensul Rm. Valcea - Sibiu (avand latimea benzii de 3,75m) , si ingreunat pe sensul Sibiu...
<cite>*Pentru descrierea completa consultati sectiunea drumuri.</cite>",24.29223421,45.47571313,01-06-2025 00:00,30-11-2026 16:00,228+850,228+900,CAINENII MARI (VL) -,,
"[28.00745059, 45.34450516]",0,7,5.0,Circulatie ingreunata  DN22B,BR;,Vădeni;,6+550 - 6+600,Sector cu risc rutier ridicat determinat de configuratia geometrica a drumului si de panta accentuata generata de structura digului pe acostamentul caruia este realizat drumul national DN22B.,Pe ambele sensuri de deplasare se instituie restrictie de viteza: 40 km/h.,28.00745059,45.34450516,07-04-2026 16:00,31-10-2026 23:59,6+550,6+600,VADENI (BR) - VADENI (BR),,
