title,link_url,angajator,tip,publicat,expira,locatie_name,locatie_url,dosar
Referent,referent-34/,UAT Municipiul Turda,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,14/09/2023,Cluj,Cluj,Permanent
"4 posturi portari, 2 posturi pompieri",4-posturi-portari-2-posturi-pompieri/,Spitalul clinic judetean de urgenta targu mures,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Mureş,Mureş,Permanent
Bibliotecar,bibliotecar-41/,Universitatea de Medicină și Farmacie „Iuliu Hațieganu” Cluj Napoca,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,8/09/2023,Cluj,Cluj,Temporar
Contabil șef,contabil-sef-36/,Unitatea militară 02547 București,"Funcție contractuală, Unități militare, Funcții de conducere",01/09/2023,22/09/2023,Bucureşti,Bucureşti,Permanent
MUNCITOR,muncitor-52/,"liceul tehnologic ""dimitrie bolintineanu"" bolintin-vale","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Giurgiu,Giurgiu,Permanent
ingrijitor gradinita cu program prelungit,ingrijitor-gradinita-cu-program-prelungit/,"GRADINITA CU PROGRAM PRELUNGIT NR.2 OLTENITA,JUD.CALARASI","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,14/09/2023,Călăraşi,Călăraşi,Permanent
Contabil șef,contabil-sef-33/,Unitatea militară 02547 București,"Funcție contractuală, Unități militare, Funcții de conducere",01/09/2023,22/09/2023,Bucureşti,Bucureşti,Permanent
POSTURI TEMPORAR VACANTE DE ASISTENT MEDICAL SI ASISTENT MEDICAL DE FARMACIE,posturi-temporar-vacante-de-asistent-medical-si-asistent-medical-de-farmacie/,SPITALUL CLINIC DE URGENȚĂ PENTRU COPII MS CURIE,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,7/09/2023,Bucureşti,Bucureşti,Temporar
"Medic specialist, specialitatea medicină fizică și reabilitare medicală",medic-specialist-specialitatea-medicina-fizica-si-reabilitare-medicala/,Institutul de Pneumoftiziologie „Marius Nasta”,"Funcție contractuală, Instituții naționale, Funcții de execuție",01/09/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
"operator date, treapta I",operator-date-treapta-i/,Biblioteca Județeană „Ștefan Bănulescu” Ialomița,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Ialomiţa,Ialomiţa,Permanent
administrator financiar,administrator-financiar-116/,"Liceul Tehnologic Agricol Alexiu Berinde Seini,  județul Maramureș","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Maramureş,Maramureş,Permanent
Portar si Muncitor,portar-si-muncitor/,Liceul tehnologic de Industrie Alimentara Arad,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Arad,Arad,Permanent
2 (doi) muncitori necalificați,2-doi-muncitori-necalificati/,"Asociația de Dezvoltare Intercomunitară „Moldova”, Iași","Funcție contractuală, Primării, Funcții de execuție",01/09/2023,14/09/2023,Iaşi,Iaşi,Permanent
medic specialist/primar în specialitatea medicină de familie,medic-specialist-primar-in-specialitatea-medicina-de-familie-3/,Serviciul de Protecţie şi Pază,"Funcție militara, Unități militare, Funcții de execuție",01/09/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
"agent DDD debutant, magaziner debutant, muncitor necalificat, pompier",agent-ddd-debutant-magaziner-debutant-muncitor-necalificat-pompier/,Spitalul Clinic Judeţean de Urgenţă Craiova,"Funcție contractuală, Instituții județene, Funcții de execuție",01/09/2023,14/09/2023,Dolj,Dolj,Permanent
farmacist specialist facrmacie clinica,farmacist-specialist-facrmacie-clinica/,Spitalul Clinic Judeţean de Urgenţă Craiova,"Funcție contractuală, Instituții județene, Funcții de execuție",01/09/2023,14/09/2023,Dolj,Dolj,Permanent
Director  categoria S gradul II – Directia Admionistrativ  – DGASPC SEctor 2,director-categoria-s-gradul-ii-directia-admionistrativ-dgaspc-sector-2/,Direcția Generală de Asistență Socială și Protecția Copilului Sector 2,"Funcție contractuală, Instituții locale, Funcții de conducere",01/09/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
muncitor calificat (inclusiv pentru lucrări de întreținere),muncitor-calificat-inclusiv-pentru-lucrari-de-intretinere/,SCOALA PROFESIONALA SPECIALA ION PILLAT DOROHOI,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,11/09/2023,Botoşani,Botoşani,Temporar
BIBLIOTECAR,bibliotecar-42/,ȘCOALA Gimnazială„ Radu cel Mare ” Târgoviște ,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Dâmboviţa,Dâmboviţa,Permanent
ADMINISTRATOR,administrator-32/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
ingrijitor,ingrijitor-367/,GRADINITA CU PROGRAM NORMAL SI PROGRAM PRELUNGIT ORASUL BAICOI,"Funcție contractuală, Instituții naționale, Nespecificat",01/09/2023,15/09/2023,Prahova,Prahova,Permanent
bucătar calificat,bucatar-calificat-16/,Școala Profesională Specială „Emil Gârleanu” Galați  județul Galați,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Galaţi,Galaţi,Permanent
Îngrijitor,ingrijitor-354/,"Școala gimnazială Nr.1, Timișoara, județul Timiș","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,18/09/2023,Timiş,Timiş,Permanent
Tractorist,tractorist-6/,"Primăria Comunei Racoș, județul Brașov","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Braşov,Braşov,Permanent
paznic,paznic-84/,Liceul Teoretic George Călinescu,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Constanţa,Constanţa,Permanent
Secretar școală S/ gradul I,secretar-scoala-s-gradul-i/,Școala Gimnazială Andrei Mureșanu,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Sălaj,Sălaj,Permanent
Inspector de specialitate grad II,inspector-de-specialitate-grad-ii-2/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
Educator ouiericultor,educator-ouiericultor/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
Preot definitiv,preot-definitiv/,Spitalul MUNICIPAL „sF. dR. cOSMA ȘI dAMIAN” rĂDĂUȚI,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Suceava,Suceava,Permanent
INGRIJITOARE,ingrijitoare-83/,GRADINITA CU PROGRAM PRELUNGIT VOINICEL ,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Sălaj,Sălaj,Permanent
Îngrijitor 1 m și muncitor 4,ingrijitor-1-m-si-muncitor-4/,"Grădinița cu Program Prelungit Dumbrava Minunată, Satu Mare","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,7/09/2023,Satu Mare,Satu Mare,Temporar
referent – șef serviciu voluntar pentru situații de urgență,referent-sef-serviciu-voluntar-pentru-situatii-de-urgenta/,"Primăria Comunei Vânători, judetul Vrancea","Funcție contractuală, Primării, Funcții de execuție",01/09/2023,14/09/2023,Vrancea,Vrancea,Permanent
magaziner,magaziner-19/,Spitalul Clinic de Boli Infecțioase Constanța,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,14/09/2023,Constanţa,Constanţa,Permanent
MAGAZINER,magaziner-18/,SPITALUL ORĂȘENESC TG LĂPUȘ,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Maramureş,Maramureş,Permanent
mediator școlar,mediator-scolar-11/,liceul Tehnologic mihai novac oravita,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Caraş-Severin,Caraş-Severin,Permanent
Muncitor calificat (atribuții gestionar) treapta III în cadrul Personal deservire,muncitor-calificat-atributii-gestionar-treapta-iii-in-cadrul-personal-deservire/,"Spitalul de Pediatrie Ploiești, județul Prahova","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Prahova,Prahova,Permanent
referent – revizor gestiune,referent-revizor-gestiune/,directia pentru sport si agrement botosani,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Botoşani,Botoşani,Permanent
medic,medic-11/,Cresa Comlosu Mare,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,25/09/2023,Timiş,Timiş,Permanent
Îngrijitor m,ingrijitor-m-4/,"Grădinița cu Program Prelungit „Lumea Piticilor”, Dej, județul Cluj","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,14/09/2023,Cluj,Cluj,Permanent
sofer de microbuz scolar,sofer-de-microbuz-scolar/,PRIMARIA COMUNEI MITOCU DRAGOMIRNEI,"Funcție contractuală, Primării, Funcții de execuție",01/09/2023,22/09/2023,Suceava,Suceava,Permanent
referent – animator sportiv,referent-animator-sportiv/,directia pentru sport si agrement botosani,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Botoşani,Botoşani,Permanent
FUNCȚII CONTRACTUALE DURATĂ NEDETERMINATĂ SP CLINIC DE URGENȚĂ PENTRU COPII MS CURIE,functii-contractuale-durata-nedeterminata-sp-clinic-de-urgenta-pentru-copii-ms-curie/,SPITALUL CLINIC DE URGENȚĂ PENTRU COPII MS CURIE,"Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,15/09/2023,Bucureşti,Bucureşti,Permanent
ASISTENT SOCIAL,asistent-social-9/,"Direcția de Asistență Socială din subordinea Consiliului Local al municipiului Alba Iulia, județul Alba","Funcție contractuală, Instituții locale, Funcții de execuție",01/09/2023,14/09/2023,Alba,Alba,Permanent
Muncitor calificat – Compartiment Personal Deservire Spații și Imobile de Învățământ,muncitor-calificat-compartiment-personal-deservire-spatii-si-imobile-de-invatamant/,"Primaria Comunei Clinceni, județul Ilfov","Funcție contractuală, Primării, Funcții de execuție",01/09/2023,14/09/2023,Ilfov,Ilfov,Permanent
administrator financiar (contabil-șef),administrator-financiar-contabil-sef-14/,"Liceul Tehnologic Cojasca, județul Dâmbovița","Funcție contractuală, Instituții locale, Funcții de conducere",01/09/2023,15/09/2023,Dâmboviţa,Dâmboviţa,Permanent
