"localitate","judet","cod_judet","siruta","tip_localitate","lat","long","populatie","namecheck"
"Chișcani","Braila","BR",42708,,"45.1821442499","27.9332909172",5770,"CHISCANI"
"Leordeni","Arges","AG",16757,,"44.7918830609","25.1293445039",5768,"LEORDENI"
"Scorțeni","Prahova","PH",135164,,"45.0918854976","25.8505141537",5763,"SCORTENI"
"Fălciu","Vaslui","VS",163832,,"46.2949301783","28.1428375753",5756,"FALCIU"
"Berești-Tazlău","Bacau","BC",21338,,"46.4695567105","26.6774998214",5755,"BERESTI-TALAU"
"Gornești","Mures","MS",117177,,"46.6753083452","24.6512295688",5753,"GORNESTI"
"Târgu Trotuș","Bacau","BC",25825,,"46.2639826758","26.6747142535",5742,"TIRGU TROTUS"
"Păulești","Satu Mare","SM",138431,,"47.7793758517","22.9218316148",5724,"PAULESTI"
"Buzoești","Arges","AG",14940,,"44.5975027808","24.9419324005",5716,"BUOESTI"
"Daneș","Mures","MS",116493,,"46.2231972607","24.696824059",5714,"DANES"
"Valea Râmnicului","Buau","BZ",50022,,"45.3639475656","27.0419715289",5710,"VALEA RIMNICULUI"
23/08/17,"Constanta","CT",60598,,"43.9181933917","28.5838437732",5710,"23 AUGUST"
"Cornetu","Ilfov","IF",102213,,"44.3423607573","25.9418532107",5704,"CORNETU"
"Pietroșani","Arges","AG",17851,,"45.1769532052","24.8475494927",5696,"PIETROSANI"
"Geoagiu","Hunedoara","HD",89561,,"45.9201517016","23.2013096513",5696,"GEOAGIU"
"Ghimpați","Giurgiu","GR",103238,,"44.1958625863","25.7833646104",5691,"GHIMPATI"
"Roșia","Sibiu","SB",145408,,"45.8169624871","24.3145549761",5687,"ROSIA"
"Țânțăreni","Gorj","GJ",82680,,"44.5952459943","23.4923729468",5682,"TINTARENI"
"Lunca de Jos","Harghita","HR",84656,,"46.562296435","25.9743042194",5679,"LUNCA DE JOS"
"Adămuș","Mures","MS",115076,,"46.3039248978","24.2369515319",5678,"ADAMUS"
"Copalnic-Mănăștur","Maramures","MM",107733,,"47.5091484999","23.6792647512",5675,"COPALNIC-MANASTUR"
"Volovăț","Suceava","SV",151120,,"47.807260818","25.8955841117",5675,"VOLOVAT"
"Cărpiniș","Timis","TM",156213,,"45.790585054","20.9058315282",5673,"CARPINIS"
"Jijila","Tulcea","TL",160617,,"45.3039748133","28.1523340573",5673,"JIJILA"
"Tătăruși","Iasi","IS",99478,,"47.3492133012","26.589829204",5668,"TATARUSI"
"Ciorogârla","Ilfov","IF",101957,,"44.4433569176","25.8773294546",5664,"CIOROGIRLA"
"Bălțați","Iasi","IS",95792,,"47.2225441918","27.1262726233",5660,"BALTATI"
"Petrești","Dambovita","DB",65752,,"44.6475565885","25.340149107",5658,"PETRESTI"
"Pârscov","Buau","BZ",48557,,"45.2886048049","26.5482294481",5653,"PIRSCOV"
"Berbești","Valcea","VL",168602,,"45.0109738986","23.881244374",5648,"BERBESTI"
"Bănești","Prahova","PH",132315,,"45.1025061366","25.7632038219",5645,"BANESTI"
"Batăr","Bihor","BH",27383,,"46.7074882839","21.8049494777",5642,"BATAR"
"Telega","Prahova","PH",135789,,"45.1332222949","25.7882706675",5634,"TELEGA"
"Albești-Paleologu","Prahova","PH",131933,,"44.9537151648","26.2280717919",5632,"ALBESTI-PALEOLOGU"
"Grănicești","Suceava","SV",148970,,"47.809396711","26.0540897838",5632,"GRANICESTI"
"Cogealac","Constanta","CT",61372,,"44.5589125197","28.5622940219",5631,"COGEALAC"
"Mânăstirea","Calarasi","CL",104181,,"44.2102850568","26.8998627307",5611,"MANASTIREA"
"Făcăeni","Ialomita","IL",93575,,"44.5577354254","27.8929189451",5609,"FACAENI"
"Livezi","Bacau","BC",23289,,"46.406392741","26.7361278958",5608,"LIVEI"
"Trușești","Botosani","BT",39328,,"47.7699626773","27.0128687952",5607,"TRUSESTI"
"Corbasca","Bacau","BC",21971,,"46.2881831678","27.1622051026",5605,"CORBASCA"
"Faraoani","Bacau","BC",22460,,"46.4337462362","26.8983537514",5605,"FARAOANI"
"Baia de Aramă","Mehedinti","MH",109924,,"44.9992908066","22.8078368882",5605,"BAIA DE ARAMA"
"Stănilești","Vaslui","VS",165979,,"46.6208755118","28.1736326193",5601,"STANILESTI"
"Călugăreni","Giurgiu","GR",101662,,"44.1724209158","25.9977223567",5596,"CALUGARENI"
"Slatina","Suceava","SV",150258,,"47.4463541914","26.0032815678",5590,"SLATINA"
"Poarta Albă","Constanta","CT",62761,,"44.2042754824","28.3997051177",5583,"POARTA ALBA"
"Sântana de Mureș","Mures","MS",114453,,"46.5765843273","24.5566332126",5570,"SINTANA DE MURES"
"Ruscova","Maramures","MM",108696,,"47.79288982","24.2854603908",5568,"RUSCOVA"
"Abrud","Alba","AB",1151,,"46.2748499062","23.065074329",5563,"ABRUD"
"Amărăștii de Jos","Dolj","DJ",70637,,"43.9545378277","24.1676826994",5556,"AMARASTII DE JOS"
"Lungulețu","Dambovita","DB",67906,,"44.6111506265","25.6641219954",5547,"LUNGULETU"
"Mănăstirea Cașin","Bacau","BC",23449,,"46.1525844752","26.6931833013",5545,"MANASTIREA CASIN"
"Horgești","Bacau","BC",22941,,"46.4395849589","27.0687246965",5544,"HORGESTI"
"Stolniceni-Prăjescu","Iasi","IS",99165,,"47.1975644221","26.7571140258",5543,"STOLNICENI-PRAJESCU"
"Moșoaia","Arges","AG",17496,,"44.8358435171","24.7903651735",5542,"MOSOAIA"
"Cochirleanca","Buau","BZ",46377,,"45.209453676","27.039876884",5533,"COCHIRLEANCA"
"Peciu Nou","Timis","TM",158065,,"45.6051988078","21.0598615922",5532,"PECIU NOU"
"Frumușița","Galati","GL",76317,,"45.6530187382","28.0662543472",5525,"FRUMUSITA"
"Sângeru","Prahova","PH",135244,,"45.1305014079","26.3375516235",5515,"SINGERU"
"Valea Stanciului","Dolj","DJ",74581,,"43.9852874936","23.8745209375",5509,"VALEA STANCIULUI"
" Sângeorgiu de Pădure","Mures","MS",119331,,"46.4306124192","24.8427449272",5508,"SANGEORGIU DE PADURE"
"Găiseni","Giurgiu","GR",103087,,"44.5138493511","25.6493296187",5507,"GAISENI"
"Grumăzești","Neamt","NT",122908,,"47.133606012","26.3772683205",5502,"GRUMAESTI"
"Moțca","Iasi","IS",98220,,"47.2349984224","26.6017281146",5501,"MOTCA"
"Pângărați","Neamt","NT",123601,,"46.9269731491","26.1890179946",5488,"PINGARATI"
"Șisești","Maramures","MM",109096,,"47.6350552865","23.7079412002",5485,"SISESTI"
"Căiuți","Bacau","BC",21757,,"46.1805695981","26.9257131065",5479,"CAIUTI"
"Comloșu Mare","Timis","TM",156437,,"45.8914885582","20.6277654956",5475,"COMLOSU MARE"
"Cetate","Dolj","DJ",71787,,"44.110166375","23.050009033",5473,"CETATE"
"Mironeasa","Iasi","IS",97875,,"46.9679101187","27.4322383837",5473,"MIRONEASA"
"Curcani","Calarasi","CL",102419,,"44.1985062642","26.5881555262",5464,"CURCANI"
"Nicolae Bălcescu","Constanta","CT",62440,,"44.3862403164","28.3795893624",5462,"NICOLAE BALCESCU"
"Vințu de Jos","Alba","AB",8826,,"45.993045245","23.4857418089",5456,"VINTU DE JOS"
"Nimigea","Bistrita-Nasaud","BN",33989,,"47.2535691388","24.3008372555",5447,"NIMIGEA"
"Grebănu","Buau","BZ",47006,,"45.3764510042","26.9824750908",5447,"GREBANU"
"Milișăuți","Suceava","SV",146931,,"47.7726070304","26.0221622138",5444,"MILISAUTI"
"Smârdan","Galati","GL",77224,,"45.4714352356","27.9459369046",5435,"SMIRDAN"
"Drajna","Prahova","PH",132896,,"45.2570934807","26.0738790189",5431,"DRAJNA"
"Dobrești","Bihor","BH",29154,,"46.8450137555","22.2798199507",5428,"DOBRESTI"
"Sânpetru","Brasov","BV",41925,,"45.7108184656","25.6367814554",5426,"SINPETRU"
"Bucecea","Botosani","BT",36453,,"47.7739891225","26.4356603421",5421,"BUCECEA"
"Berceni","Ilfov","IF",101145,,"44.3088740931","26.1905069777",5419,"BERCENI"
"Râfov","Prahova","PH",135020,,"44.8745823099","26.1343754392",5417,"RIFOV"
"Luizi-Călugăra","Bacau","BC",23350,,"46.5336758646","26.8407666262",5416,"LUII-CALUGARA"
"Moara","Suceava","SV",149414,,"47.6008605384","26.2226153422",5414,"MOARA"
"Rediu","Neamt","NT",124028,,"46.7568015791","26.565226393",5412,"REDIU"
"Castelu","Constanta","CT",61121,,"44.257284319","28.3397696469",5407,"CASTELU"
"Dumitra","Bistrita-Nasaud","BN",33202,,"47.2227453484","24.4695228963",5404,"DUMITRA"
"Sântandrei","Bihor","BH",26653,,"47.0691166348","21.8553916442",5400,"SINTANDREI"
"Zagon","Covasna","CV",65011,,"45.769762381","26.1131901159",5399,"AGON"
"Vânători","Galati","GL",75150,,"45.5302039955","28.0183910983",5399,"VINATORI"
"Mătăsari","Gorj","GJ",80846,,"44.8477638976","23.0887273613",5397,"MATASARI"
"Berzunți","Bacau","BC",21418,,"46.4043154291","26.6444018683",5392,"BERUNTI"
"Gura Șuții","Dambovita","DB",67648,,"44.7571047698","25.4992686269",5390,"GURA SUTII"
"Ciacova","Timis","TM",156357,,"45.5113576882","21.132522104",5387,"CIACOVA"
"Iordăcheanu","Prahova","PH",133722,,"45.0439208113","26.2391959999",5386,"IORDACHEANU"
"Săucești","Bacau","BC",25228,,"46.6185279922","26.9414092249",5378,"SAUCESTI"
"Todirești","Iasi","IS",99539,,"47.3245909637","26.8338561177",5373,"TODIRESTI"
"Todirești","Suceava","SV",150524,,"47.7038278444","26.0631422776",5367,"TODIRESTI"
"Tunari","Ilfov","IF",105570,,"44.5473080115","26.1415329677",5366,"TUNARI"
"Sihlea","Vrancea","VN",177600,,"45.4985803085","27.1281455754",5364,"SIHLEA"
"Vetiș","Satu Mare","SM",139358,,"47.806765412","22.7818020212",5363,"VETIS"
"Șipote","Iasi","IS",99370,,"47.4707919775","27.2154945249",5362,"SIPOTE"
"Josenii Bârgăului","Bistrita-Nasaud","BN",33382,,"47.2078970527","24.6750673104",5352,"JOSENII BIRGAULUI"
"Greci","Tulcea","TL",160430,,"45.1913174066","28.238542902",5350,"GRECI"
"Halmeu","Satu Mare","SM",137764,,"47.9770900164","23.0247837307",5347,"HALMEU"
"Isaccea","Tulcea","TL",159687,,"45.2676744143","28.4596476923",5347,"ISACCEA"
"Tudor Vladimirescu","Galati","GL",77313,,"45.5646633185","27.6507501818",5345,"TUDOR VLADIMIRESCU"
"Islaz","Teleorman","TR",151736,,"43.7258661341","24.7596024301",5345,"ISLA"
"Frâncești","Valcea","VL",169896,,"44.9990765073","24.1885711598",5342,"FRINCESTI"
"Mircea Vodă","Constanta","CT",62280,,"44.281890632","28.1789014709",5341,"MIRCEA VODA"
"Gura Văii","Bacau","BC",20607,,"46.2690677017","26.829463952",5331,"GURA VAII"
"Bran","Brasov","BV",40633,,"45.516382933","25.3681462736",5329,"BRAN"
"Sagna","Neamt","NT",124153,,"46.9683100363","27.0099332721",5329,"SAGNA"
"Mogoșești","Iasi","IS",98113,,"47.0424323279","27.5165301182",5320,"MOGOSESTI"
"Cavnic","Maramures","MM",106782,,"47.6498937545","23.8254687552",5318,"CAVNIC"
"Coșești","Arges","AG",15901,,"45.0713362577","24.8723323707",5311,"COSESTI"
"Jidvei","Alba","AB",5103,,"46.2223040541","24.1116359456",5310,"JIDVEI"
"Perișoru","Calarasi","CL",94223,,"44.4371925107","27.5465932987",5305,"PERISORU"
"Hemeiuș","Bacau","BC",20313,,"46.6264256066","26.8543957095",5296,"HEMEIUS"
"Curtești","Botosani","BT",35759,,"47.7161861452","26.6507549981",5293,"CURTESTI"
"Pătrăuți","Suceava","SV",149833,,"47.720973645","26.1884098649",5292,"PATRAUTI"
"Suseni","Harghita","HR",85920,,"46.6674061702","25.5573050618",5291,"SUSENI"
"Mătăsaru","Dambovita","DB",68048,,"44.6818847267","25.4384558136",5287,"MATASARU"
"Ciocănești","Dambovita","DB",101840,,"44.6016267901","25.8696236799",5285,"CIOCANESTI"
"Ciupercenii Noi","Dolj","DJ",71858,,"43.909904112","22.951615484",5280,"CIUPERCENII NOI"
"Frătești","Giurgiu","GR",102909,,"43.9708512874","25.9714663555",5276,"FRATESTI"
"Tătărani","Dambovita","DB",68921,,"45.0032542685","25.2741728171",5268,"TATARANI"
"Tufești","Braila","BR",44300,,"44.9871886841","27.8025631844",5267,"TUFESTI"
"Nojorid","Bihor","BH",30149,,"46.998916814","21.8860419461",5266,"NOJORID"
"Moldovița","Suceava","SV",149539,,"47.688157628","25.5400656141",5266,"MOLDOVITA"
"Lipănești","Prahova","PH",133964,,"45.0560466132","26.0216139179",5265,"LIPANESTI"
"Comarna","Iasi","IS",96370,,"47.0947937789","27.8009083911",5263,"COMARNA"
"Predeal","Brasov","BV",40303,,"45.5056761258","25.5757485128",5261,"PREDEAL"
"Băile Herculane","Caras-Severin","CS",50923,,"44.8867918774","22.4268844163",5251,"BAILE HERCULANE"
"Frătăuții Vechi","Suceava","SV",148694,,"47.9096231838","25.8786354404",5250,"FRATAUTII VECHI"
"Bălcești","Valcea","VL",168452,,"44.613438897","23.9432145561",5238,"BALCESTI"
"Tudora","Botosani","BT",39391,,"47.5077340818","26.6339747959",5236,"TUDORA"
"Comișani","Dambovita","DB",66731,,"44.8719619852","25.5905374829",5236,"COMISANI"
"Ștefan cel Mare","Bacau","BC",20670,,"46.2163553882","26.8619169786",5228,"STEFAN CEL MARE"
"Văcărești","Dambovita","DB",69250,,"44.8572428255","25.4876281907",5224,"VACARESTI"
"Botoroaga","Teleorman","TR",152172,,"44.1513320111","25.5460613562",5223,"BOTOROAGA"
"Hoghiz","Brasov","BV",41177,,"45.9856366905","25.3113270599",5219,"HOGHI"
"Botești","Neamt","NT",121796,,"47.051997855","26.7486311589",5210,"BOTESTI"
"Fârțănești","Galati","GL",76255,,"45.7899465452","27.9915197388",5207,"FIRTANESTI"
"Podu Turcului","Bacau","BC",24524,,"46.2045755845","27.387556839",5204,"PODU TURCULUI"
"Girov","Neamt","NT",122702,,"46.9557123075","26.50142248",5203,"GIROV"
"Mărăcineni","Arges","AG",13365,,"44.8897461893","24.8785240782",5202,"MARACINENI"
"Slănic-Moldova","Bacau","BC",20910,,"46.2217092497","26.4591883987",5196,"SLANIC MOLDOVA"
"Gorgota","Prahova","PH",133508,,"44.7854424326","26.0906776815",5196,"GORGOTA"
"Bordușani","Ialomita","IL",92989,,"44.4819221196","27.9045481269",5192,"BORDUSANI"
"Bălăușeri","Mures","MS",115637,,"46.408906531","24.690921295",5189,"BALAUSERI"
"Vișeu de Jos","Maramures","MM",109504,,"47.7276022079","24.3630590812",5184,"VISEU DE JOS"
"Berezeni","Vaslui","VS",162498,,"46.3735151011","28.152118894",5181,"BEREENI"
"Buhoci","Bacau","BC",21668,,"46.5665452514","27.019429499",5180,"BUHOCI"
"Mănești","Dambovita","DB",68002,,"44.965423735","25.2868836324",5180,"MANESTI"
"Dumbrăvița","Brasov","BV",40928,,"45.7669861093","25.4398752077",5179,"DUMBRAVITA"
"Râșca","Suceava","SV",150114,,"47.3569883434","26.2346048604",5174,"RISCA"
"Ghelința","Covasna","CV",64318,,"45.9426478487","26.2336118226",5165,"GHELINTA"
"Dragomirești","Vaslui","VS",163486,,"46.6336368738","27.3591348031",5165,"DRAGOMIRESTI"
"Moroeni","Dambovita","DB",68182,,"45.2144619142","25.4371681206",5159,"MOROENI"
"Scânteia","Iasi","IS",98916,,"46.9201519669","27.57885336",5159,"SCANTEIA"
"Horodnic de Sus","Suceava","SV",151479,,"47.8318554246","25.8368692494",5159,"HORODNIC DE SUS"
"Săliștea de Sus","Maramures","MM",108892,,"47.6601898453","24.3533639773",5148,"SALISTEA DE SUS"
"Hodac","Mures","MS",117426,,"46.7758281618","24.9270421743",5142,"HODAC"
"Țifești","Vrancea","VN",178180,,"45.8560497468","27.0829776332",5136,"TIFESTI"
"Poieni","Cluj","CJ",59041,,"46.9204034539","22.8590930575",5131,"POIENI"
"Ulmeni","Calarasi","CL",105605,,"44.1458708086","26.7279270531",5122,"ULMENI"
"Vulcana-Pandele","Dambovita","DB",179640,,"45.0155842282","25.3931853521",5122,"VULCANA-PANDELE"
"Odobești","Dambovita","DB",68342,,"44.6148964182","25.5591946195",5119,"ODOBESTI"
"Zărnești","Buau","BZ",50415,,"45.2914111711","26.8802817921",5118,"ARNESTI"
"Ostrov","Constanta","CT",62538,,"44.1063211308","27.3703036032",5118,"OSTROV"
"Călinești-Oaș","Satu Mare","SM",137229,,"47.9085726227","23.2982738622",5116,"CALINESTI-OAS"
"Țițești","Arges","AG",19338,,"45.0098944732","24.9886070589",5115,"TITESTI"
"Poiana Câmpina","Prahova","PH",131274,,"45.1280546149","25.7109633228",5110,"POIANA CAMPINA"
"Tărtășești","Dambovita","DB",105534,,"44.5803349199","25.8126229589",5107,"TARTASESTI"
"Bălușeni","Botosani","BT",36300,,"47.6691798527","26.7961700292",5104,"BALUSENI"
"Trifești","Neamt","NT",124723,,"46.8978226054","26.8605504269",5103,"TRIFESTI"
"Unirea","Alba","AB",8158,,"46.403868554","23.813138605",5099,"UNIREA"
"Dumești","Iasi","IS",96940,,"47.174723777","27.3430896629",5098,"DUMESTI"
"Ludești","Dambovita","DB",67835,,"44.8736588623","25.2461997086",5097,"LUDESTI"
"Runcu","Gorj","GJ",81576,,"45.118963095","23.1427080246",5096,"RUNCU"
"Văleni","Vaslui","VS",166636,,"46.7473338171","27.7596000947",5087,"VALENI"
"Brăduț","Covasna","CV",64041,,"46.1294070745","25.6095580365",5081,"BRADUT"
"Țigănești","Teleorman","TR",154834,,"43.9014090571","25.3780359456",5077,"TIGANESTI"
"Schitu Golești","Arges","AG",18670,,"45.1868113003","25.0024816799",5072,"SCHITU GOLESTI"
"Găneasa","Ilfov","IF",103130,,"44.4920592402","26.2842460979",5067,"GANEASA"
"Satchinez","Timis","TM",158528,,"45.9420127445","21.0432424102",5060,"SATCHINE"
"Livezile","Bistrita-Nasaud","BN",33541,,"47.181446346","24.576939852",5052,"LIVEILE"
"Ostroveni","Dolj","DJ",73567,,"43.8082412484","23.8955605429",5052,"OSTROVENI"
"Măstăcani","Galati","GL",76718,,"45.7638010083","28.0547272599",5050,"MASTACANI"
"Băneasa","Giurgiu","GR",101001,,"44.0473534271","26.0670190414",5048,"BANEASA"
"Mitocu Dragomirnei","Suceava","SV",146325,,"47.7239143347","26.244383154",5044,"MITOCU DRAGOMIRNEI"
"Stâlpeni","Arges","AG",18778,,"45.0507343584","24.9817556773",5042,"STILPENI"
"Periam","Timis","TM",158109,,"46.043935097","20.8751745342",5036,"PERIAM"
"Drăguțești","Gorj","GJ",78016,,"44.975535619","23.2328278713",5034,"DRAGUTESTI"
"Ciucsângeorgiu","Harghita","HR",83981,,"46.3220179445","25.9566158457",5030,"CIUCSINGEORGIU"
"Moșna","Iasi","IS",98202,,"46.9218891579","27.9595568234",5028,"MOSNA"
"Popești","Iasi","IS",98435,,"47.1521929649","27.2409369701",5026,"POPESTI"
"Ciolpani","Ilfov","IF",101902,,"44.7263959979","26.100501084",5010,"CIOLPANI"
"Bratca","Bihor","BH",27686,,"46.92729002","22.6039510754",5009,"BRATCA"
"Măgura","Bacau","BC",20411,,"46.5619582478","26.8593187542",5007,"MAGURA"
"Coțușca","Botosani","BT",36809,,"48.129858022","26.8562188256",5004,"COTUSCA"
"Puiești","Vaslui","VS",165470,,"46.4244666942","27.4887322284",4998,"PUIESTI"
"Poiana Teiului","Neamt","NT",123790,,"47.1158988081","25.9236439631",4997,"POIANA TEIULUI"
"Vulcan","Brasov","BV",42398,,"45.634660928","25.4230190181",4994,"VULCAN"
"Fântânele","Mures","MS",116796,,"46.4218175728","24.7665361777",4993,"FINTINELE"
"Dagâța","Iasi","IS",96717,,"46.9191077318","27.1935728876",4987,"DAGITA"
"Vlădeni","Botosani","BT",39738,,"47.7166186196","26.5179573507",4986,"VLADENI"
"Răchitoasa","Bacau","BC",24837,,"46.4405119022","27.3746055303",4964,"RACHITOASA"
"Rebrișoara","Bistrita-Nasaud","BN",34280,,"47.2874779107","24.451735109",4963,"REBRISOARA"
"Costești","Buau","BZ",46484,,"45.047619308","26.7616646408",4962,"COSTESTI"
"Cristești","Botosani","BT",36907,,"47.6364624639","26.7363954624",4961,"CRISTESTI"
"Vâlcele","Covasna","CV",64942,,"45.8118688157","25.6548185304",4961,"VILCELE"
"Zemeș","Bacau","BC",26289,,"46.5499653395","26.4661211048",4958,"EMES"
"Piscu","Galati","GL",76996,,"45.4995366853","27.7256242381",4955,"PISCU"
"Dărmănești","Dambovita","DB",67256,,"44.9177859668","25.7706261924",4948,"DARMANESTI"
"Drăgănești","Prahova","PH",133018,,"44.8298843507","26.2938512826",4940,"DRAGANESTI"
"Șirna","Prahova","PH",135431,,"44.8013100909","25.9617982471",4940,"SIRNA"
"Repedea","Maramures","MM",108598,,"47.8321184141","24.4014158956",4936,"REPEDEA"
"Padeș","Gorj","GJ",81095,,"45.0508502874","22.8208478751",4935,"PADES"
"Gârcina","Neamt","NT",122828,,"46.9769145537","26.3457335888",4930,"GIRCINA"
"Crasna","Gorj","GJ",79834,,"45.1739633235","23.5259184877",4927,"CRASNA"
"Cristian","Brasov","BV",40900,,"45.6247393133","25.4829180361",4923,"CRISTIAN"
"Ghimeș-Făget","Bacau","BC",22718,,"46.5889071345","26.0534937553",4914,"GHIMES-FAGET"
"Pârgărești","Bacau","BC",24276,,"46.2532773542","26.6533725455",4912,"PIRGARESTI"
"Desa","Dolj","DJ",72034,,"43.8703801047","23.0323591092",4912,"DESA"
"Poienarii Burchii","Prahova","PH",134559,,"44.7616681728","26.0078609363",4904,"POIENARII BURCHII"
"Răchiți","Botosani","BT",35839,,"47.7631242918","26.6876528363",4897,"RACHITI"
"Cenad","Timis","TM",156259,,"46.1337068701","20.580012254",4895,"CENAD"
"Bistra","Alba","AB",3039,,"46.3769783171","23.1038682812",4892,"BISTRA"
"Azuga","Prahova","PH",130954,,"45.4451163353","25.5561563929",4891,"AUGA"
"Frumușani","Calarasi","CL",102945,,"44.297162928","26.3220730897",4890,"FRUMUSANI"
"Fundeni","Calarasi","CL",103014,,"44.3832462338","26.349678004",4890,"FUNDENI"
"Crevedia Mare","Giurgiu","GR",102348,,"44.4306293606","25.625247206",4881,"CREVEDIA MARE"
"Colceag","Prahova","PH",132752,,"44.943267073","26.3639048327",4877,"COLCEAG"
"Costuleni","Iasi","IS",96423,,"47.0290712996","27.8632273514",4874,"COSTULENI"
"Somova","Tulcea","TL",161302,,"45.1886465892","28.6622243471",4872,"SOMOVA"
"Niculițel","Tulcea","TL",161035,,"45.1825149349","28.4813879713",4870,"NICULITEL"
"Sita Buzăului","Covasna","CV",63688,,"45.6525552236","26.0675492157",4866,"SITA BUAULUI"
"Zăbala","Covasna","CV",65048,,"45.8784381385","26.1867308817",4866,"ABALA"
"Osica de Sus","Olt","OT",127983,,"44.2571358933","24.3269578807",4864,"OSICA DE SUS"
"Bujoreni","Valcea","VL",168880,,"45.1457134483","24.3846043302",4864,"BUJORENI"
"Țicleni","Gorj","GJ",78454,,"44.8834432758","23.3892087953",4861,"TICLENI"
"Bârsănești","Bacau","BC",21454,,"46.3343899052","26.694578707",4860,"BIRSANESTI"
"Podenii Noi","Prahova","PH",134443,,"45.1112271692","26.1712775278",4858,"PODENII NOI"
"Zimandu Nou","Arad","AR",12876,,"46.2810934409","21.4002508616",4856,"IMANDU NOU"
"Bonțida","Cluj","CJ",56210,,"46.9121311152","23.8157063273",4853,"BONTIDA"
"Săgeata","Buau","BZ",49073,,"45.1000008519","26.9855669444",4850,"SAGEATA"
"Icușești","Neamt","NT",123013,,"46.8079250983","26.9526699299",4846,"ICUSESTI"
"Teremia Mare","Timis","TM",158859,,"45.9349990428","20.52813862",4845,"TEREMIA MARE"
"Mireșu Mare","Maramures","MM",108268,,"47.5032223813","23.3353106122",4844,"MIRESU MARE"
"Fărcașele","Olt","OT",127019,,"44.1487684834","24.4359891803",4842,"FARCASELE"
"Cotești","Vrancea","VN",175885,,"45.6441305073","27.0659155636",4838,"COTESTI"
"Râmnicelu","Buau","BZ",48968,,"45.3638066504","27.1112109633",4831,"RIMNICELU"
"Miercurea Sibiului","Sibiu","SB",144928,,"45.8887479377","23.7948782462",4827,"MIERCUREA SIBIULUI"
"Dragomirești-Vale","Ilfov","IF",102605,,"44.4745817481","25.9361013779",4822,"DRAGOMIRESTI-VALE"
"Bolotești","Vrancea","VN",175368,,"45.8398211409","27.0750952257",4820,"BOLOTESTI"
"Stănișești","Bacau","BC",25521,,"46.4309950713","27.3059473206",4812,"STANISESTI"
"Maglavit","Dolj","DJ",73031,,"44.0314536289","23.0981477115",4810,"MAGLAVIT"
"Bodești","Neamt","NT",121607,,"47.0313082675","26.4182268217",4810,"BODESTI"
"Acățari","Mures","MS",114970,,"46.4799711055","24.635072029",4807,"ACATARI"
"Suharău","Botosani","BT",38982,,"48.1408418804","26.4211545594",4806,"SUHARAU"
"Voitinel","Suceava","SV",151558,,"47.8836551502","25.7573498288",4806,"VOITINEL"
"Aninoasa","Hunedoara","HD",87219,,"45.4083683323","23.3183916086",4805,"ANINOASA"
"Garoafa","Vrancea","VN",176212,,"45.7824541796","27.2164648845",4805,"GAROAFA"
"Dornești","Suceava","SV",148293,,"47.8719045574","26.0053442381",4801,"DORNESTI"
"Fântânele","Suceava","SV",148453,,"47.5746307709","26.5327656667",4800,"FINTINELE"
"Slobozia","Arges","AG",18741,,"44.5203550091","25.2380230876",4794,"SLOBOIA"
"Cislău","Buau","BZ",46313,,"45.2421246535","26.379540712",4792,"CISLAU"
"Cășeiu","Cluj","CJ",56666,,"47.1949824524","23.8573134623",4791,"CASEIU"
"Boroaia","Suceava","SV",147072,,"47.3490394832","26.3380000757",4791,"BOROAIA"
"Mica","Mures","MS",118209,,"46.3680460681","24.4124050734",4789,"MICA"
"Valea Lungă","Dambovita","DB",69063,,"45.0652836979","25.5879325299",4784,"VALEA LUNGA"
"Grădiștea","Calarasi","CL",93664,,"44.2342854942","27.2075809366",4784,"GRADISTEA"
"Țigănăși","Iasi","IS",99879,,"47.3320437585","27.470000565",4782,"TIGANASI"
"Spanțov","Calarasi","CL",105259,,"44.1224812921","26.7887072517",4777,"SPANTOV"
"Doicești","Dambovita","DB",65413,,"44.9914383266","25.4007300443",4776,"DOICESTI"
"Forăști","Suceava","SV",148514,,"47.3493848027","26.4670312228",4767,"FORASTI"
"Hălchiu","Brasov","BV",41033,,"45.7610908357","25.5461964265",4763,"HALCHIU"
"Independența","Galati","GL",76585,,"45.4746562687","27.7602461443",4763,"INDEPENDENTA"
"Drânceni","Vaslui","VS",163618,,"46.8299775215","28.0810545487",4763,"DRINCENI"
"Calvini","Buau","BZ",45753,,"45.2545934917","26.2913081752",4760,"CALVINI"
"Havârna","Botosani","BT",37547,,"48.0748307233","26.6464704549",4758,"HAVIRNA"
"Șeica Mare","Sibiu","SB",145667,,"46.0239448871","24.1573683113",4757,"SEICA MARE"
"Măgurele","Prahova","PH",134014,,"45.0999067262","26.0391380651",4752,"MAGURELE"
"Măicănești","Vrancea","VN",176613,,"45.5017989994","27.494542195",4742,"MAICANESTI"
"Vânători","Iasi","IS",100086,,"47.3597971049","26.7642262343",4741,"VINATORI"
"Bârsana","Maramures","MM",107314,,"47.8175318375","24.0543262783",4740,"BARSANA"
"Bârla","Arges","AG",14450,,"44.4327347465","24.7800097445",4738,"BIRLA"
"Ogrezeni","Giurgiu","GR",104485,,"44.4047682744","25.7816199737",4734,"OGREENI"
"Topolog","Tulcea","TL",161384,,"44.8766673507","28.3798319571",4724,"TOPOLOG"
"Leu","Dolj","DJ",72926,,"44.1890421295","24.0011046396",4722,"LEU"
